dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
alpha: 1.0
beta: 1.0
gamma: 0.2
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: True
transplant_epochs: 5
refinement_epochs: 10
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/checkpoint/
data_pre: ImageNet
model_pre: model_4096_32
loss_pre: loss_1.0_1.0_0.2_0.5
training_pre: wasserstein_vq_transplant_True
saver_name_pre: wasserstein_vq_transplant_True_ImageNet_model_4096_32_loss_1.0_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
Downloading vgg_lpips model from https://heibox.uni-heidelberg.de/f/607503859c864bc1b30b/?dl=1 to /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/code/models/cache/vgg.pth
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/WassersteinVQ/VAR/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/5] Iters:[10/20018] transplant_loss 3.3394, rec_loss 0.4752, p_loss 0.7429, quant_error1 0.5420, quant_error 0.8228, utilization 0.7390, perplexity 1880.7219,
Train Epoch: [1/5] Iters:[20/20018] transplant_loss 2.8386, rec_loss 0.3132, p_loss 0.6814, quant_error1 0.5382, quant_error 0.7079, utilization 0.8495, perplexity 2401.7224,
Train Epoch: [1/5] Iters:[30/20018] transplant_loss 2.5275, rec_loss 0.2404, p_loss 0.6225, quant_error1 0.5158, quant_error 0.6346, utilization 0.8942, perplexity 2679.6646,
Train Epoch: [1/5] Iters:[40/20018] transplant_loss 2.3150, rec_loss 0.2002, p_loss 0.5735, quant_error1 0.4951, quant_error 0.5878, utilization 0.9201, perplexity 2912.4711,
Train Epoch: [1/5] Iters:[50/20018] transplant_loss 2.1641, rec_loss 0.1734, p_loss 0.5338, quant_error1 0.4813, quant_error 0.5578, utilization 0.9359, perplexity 3070.5986,
Train Epoch: [1/5] Iters:[60/20018] transplant_loss 1.7684, rec_loss 0.0888, p_loss 0.4502, quant_error1 0.4496, quant_error 0.4720, utilization 0.9881, perplexity 3383.6811,
Train Epoch: [1/5] Iters:[70/20018] transplant_loss 1.5537, rec_loss 0.0678, p_loss 0.3871, quant_error1 0.4154, quant_error 0.4280, utilization 0.9959, perplexity 3409.4009,
Train Epoch: [1/5] Iters:[80/20018] transplant_loss 1.4212, rec_loss 0.0579, p_loss 0.3449, quant_error1 0.3941, quant_error 0.4050, utilization 0.9990, perplexity 3351.8027,
Train Epoch: [1/5] Iters:[90/20018] transplant_loss 1.3373, rec_loss 0.0511, p_loss 0.3174, quant_error1 0.3821, quant_error 0.3919, utilization 0.9993, perplexity 3232.8600,
Train Epoch: [1/5] Iters:[100/20018] transplant_loss 1.2714, rec_loss 0.0463, p_loss 0.2994, quant_error1 0.3700, quant_error 0.3788, utilization 0.9993, perplexity 3091.5649,
Train Epoch: [1/5] Iters:[110/20018] transplant_loss 1.2620, rec_loss 0.0449, p_loss 0.2922, quant_error1 0.3727, quant_error 0.3811, utilization 0.9993, perplexity 2978.3803,
Train Epoch: [1/5] Iters:[120/20018] transplant_loss 1.2486, rec_loss 0.0439, p_loss 0.2854, quant_error1 0.3708, quant_error 0.3788, utilization 0.9994, perplexity 2924.2994,
Train Epoch: [1/5] Iters:[130/20018] transplant_loss 1.2523, rec_loss 0.0437, p_loss 0.2826, quant_error1 0.3736, quant_error 0.3814, utilization 0.9995, perplexity 2905.8584,
Train Epoch: [1/5] Iters:[140/20018] transplant_loss 1.2239, rec_loss 0.0419, p_loss 0.2782, quant_error1 0.3632, quant_error 0.3707, utilization 0.9995, perplexity 2828.3894,
Train Epoch: [1/5] Iters:[150/20018] transplant_loss 1.2238, rec_loss 0.0419, p_loss 0.2763, quant_error1 0.3638, quant_error 0.3714, utilization 0.9995, perplexity 2787.8202,
Train Epoch: [1/5] Iters:[160/20018] transplant_loss 1.1979, rec_loss 0.0406, p_loss 0.2718, quant_error1 0.3550, quant_error 0.3623, utilization 0.9996, perplexity 2734.9467,
Train Epoch: [1/5] Iters:[170/20018] transplant_loss 1.1921, rec_loss 0.0402, p_loss 0.2709, quant_error1 0.3532, quant_error 0.3604, utilization 0.9996, perplexity 2686.2976,
Train Epoch: [1/5] Iters:[180/20018] transplant_loss 1.1720, rec_loss 0.0392, p_loss 0.2665, quant_error1 0.3470, quant_error 0.3540, utilization 0.9996, perplexity 2627.1475,
Train Epoch: [1/5] Iters:[190/20018] transplant_loss 1.1766, rec_loss 0.0390, p_loss 0.2645, quant_error1 0.3506, quant_error 0.3574, utilization 0.9997, perplexity 2579.0153,
Train Epoch: [1/5] Iters:[200/20018] transplant_loss 1.1678, rec_loss 0.0386, p_loss 0.2614, quant_error1 0.3483, quant_error 0.3548, utilization 0.9997, perplexity 2503.5888,
Train Epoch: [1/5] Iters:[210/20018] transplant_loss 1.1557, rec_loss 0.0381, p_loss 0.2576, quant_error1 0.3448, quant_error 0.3511, utilization 0.9997, perplexity 2428.6110,
Train Epoch: [1/5] Iters:[220/20018] transplant_loss 1.1551, rec_loss 0.0377, p_loss 0.2552, quant_error1 0.3462, quant_error 0.3521, utilization 0.9997, perplexity 2372.0252,
Train Epoch: [1/5] Iters:[230/20018] transplant_loss 1.1559, rec_loss 0.0372, p_loss 0.2538, quant_error1 0.3474, quant_error 0.3529, utilization 0.9997, perplexity 2286.9997,
Train Epoch: [1/5] Iters:[240/20018] transplant_loss 1.1625, rec_loss 0.0378, p_loss 0.2526, quant_error1 0.3502, quant_error 0.3555, utilization 0.9997, perplexity 2223.8630,
Train Epoch: [1/5] Iters:[250/20018] transplant_loss 1.1506, rec_loss 0.0367, p_loss 0.2493, quant_error1 0.3470, quant_error 0.3520, utilization 0.9997, perplexity 2162.3131,
Train Epoch: [1/5] Iters:[260/20018] transplant_loss 1.1416, rec_loss 0.0362, p_loss 0.2478, quant_error1 0.3441, quant_error 0.3488, utilization 0.9997, perplexity 2128.0914,
Train Epoch: [1/5] Iters:[270/20018] transplant_loss 1.1305, rec_loss 0.0358, p_loss 0.2440, quant_error1 0.3415, quant_error 0.3455, utilization 0.9997, perplexity 2068.3978,
Train Epoch: [1/5] Iters:[280/20018] transplant_loss 1.1138, rec_loss 0.0351, p_loss 0.2398, quant_error1 0.3364, quant_error 0.3398, utilization 0.9997, perplexity 2047.6116,
Train Epoch: [1/5] Iters:[290/20018] transplant_loss 1.0978, rec_loss 0.0340, p_loss 0.2344, quant_error1 0.3330, quant_error 0.3356, utilization 0.9997, perplexity 2032.9371,
Train Epoch: [1/5] Iters:[300/20018] transplant_loss 1.0998, rec_loss 0.0341, p_loss 0.2306, quant_error1 0.3360, quant_error 0.3373, utilization 0.9997, perplexity 1986.4175,
Train Epoch: [1/5] Iters:[310/20018] transplant_loss 1.1001, rec_loss 0.0335, p_loss 0.2278, quant_error1 0.3378, quant_error 0.3378, utilization 0.9997, perplexity 1956.3654,
Train Epoch: [1/5] Iters:[320/20018] transplant_loss 1.1064, rec_loss 0.0338, p_loss 0.2269, quant_error1 0.3409, quant_error 0.3395, utilization 0.9997, perplexity 1959.2437,
Train Epoch: [1/5] Iters:[330/20018] transplant_loss 1.1151, rec_loss 0.0339, p_loss 0.2251, quant_error1 0.3461, quant_error 0.3430, utilization 0.9997, perplexity 1965.3180,
Train Epoch: [1/5] Iters:[340/20018] transplant_loss 1.1060, rec_loss 0.0333, p_loss 0.2216, quant_error1 0.3440, quant_error 0.3394, utilization 0.9996, perplexity 1926.7305,
